Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6335830,840.99035827911,213.3,24.4914695,47.93474331,20.8,1.2,7.525613685000001,9.795312639999995,16.45941490199999,21.8,11.2,2.7,0.28589967060149196,0.16173042661763862,152.0,16.6,2015.5
GRDC_6336050,953.6431708043199,218.1,20.565544,54.63905415000001,31.8,0.5,8.481856586000001,10.663943117499999,15.851451663000006,22.2,11.4,2.8,0.28793660650092384,0.18163407271040288,146.5,20.3,2015.5
GRDC_6336500,971.1153312937,222.2,21.2813725,55.64976597,28.7,0.7,8.415004436,10.889363974999998,15.786149248000005,22.9,11.7,2.9,0.29568082107991944,0.1852192250537706,142.4,17.7,2015.5
GRDC_6336510,799.6289338105,193.8,22.7150927,50.96539637,20.7,0.9,8.339018792000001,10.52840581499999,15.500591128999996,19.9,10.2,2.6,0.285473512262682,0.18145742485539995,138.2,16.0,2015.5
GRDC_6336800,987.08525400858,215.3,22.7853556,54.9337678,27.6,1.4,8.82771427,11.456180074999999,17.907639491,22.1,11.4,2.9,0.2884120911723628,0.18013296046752594,149.3,19.6,2015.5
GRDC_6336900,939.38954078056,216.4,21.8309376,56.23675352,25.5,0.9,8.433771321,10.758849609999999,16.024135631999997,22.1,11.3,2.8,0.28331706912165316,0.18315721097310017,148.2,18.4,2015.5
GRDC_6336910,935.58940224742,219.5,25.9013321,58.792470879999996,29.3,0.9,8.328215834000002,11.250043942499998,16.551208713,22.5,11.6,3.0,0.28009663628925363,0.16903354791276318,145.8,21.4,2015.5
GRDC_6336920,950.7453419752201,218.5,24.065931799999998,53.21955987,22.4,0.7,8.708614435000001,11.229255792499998,15.9472072855,22.4,11.4,2.9,0.2791503647132412,0.1800211434457369,146.8,14.5,2015.5
GRDC_6336930,1028.307162387767,226.2,25.652191699999996,61.49855966,29.5,1.9,9.3425095,12.089944954999996,18.981641832499992,23.0,11.7,3.0,0.2775188893590928,0.16587626328269195,139.1,17.0,2015.5
GRDC_6337050,800.0625433178,245.3,19.5090639,44.09835392,29.4,0.5,5.615468406000001,7.543387471499997,12.228853413000007,24.9,12.7,3.0,0.3376687317332934,0.19695622454557662,120.0,16.4,2015.5
GRDC_6337060,771.0762925511,210.2,20.79801453,45.94104223,22.6,0.9,6.655001539,8.305809595,13.247056534,21.4,10.9,2.8,0.32955407384084195,0.21483711356459484,118.6,14.8,2015.5
GRDC_6337100,812.28461561814,233.4,24.836888,49.97752696,28.8,0.8,6.1134674140000005,7.687825414999997,12.181578075500001,24.0,12.2,2.9,0.3331467108957363,0.20387814417335778,131.9,19.5,2015.5
GRDC_6337200,767.07554540361,223.3,21.0317725,46.33971623,29.7,0.8,5.862214207,7.536295274999998,11.580498082499997,22.8,11.6,2.9,0.33350242815130937,0.20482390032547496,142.0,18.7,2015.5
GRDC_6337250,756.1438993259801,215.8,21.6454752,46.62542797,26.3,1.0,5.951545160000001,7.922924263999997,14.524962998000001,22.1,11.4,2.9,0.3186892617586395,0.18206107280859785,149.5,20.5,2015.5
GRDC_6337300,503.2855596482,139.7,18.923394857142856,45.38235392857143,19.0,0.3,6.6307548757142865,8.870731871428566,14.166457725714283,14.4,7.3,1.8,0.32277297579947073,0.19162413595247968,78.7,11.7,2015.5
GRDC_6337310,707.02701887183,201.4,21.26267911111111,48.506098200000004,23.8,0.9,6.57142112888889,8.645724648333331,14.174549127777784,20.5,10.6,2.6,0.310084541606854,0.18128591585455167,114.4,12.1,2015.5
GRDC_6337320,526.9205777938,145.7,22.479788,48.58096281666667,19.6,0.4,6.770838238333334,9.370607917499997,14.82240125333333,14.8,7.6,1.8,0.3249201132647418,0.1796090745952866,66.7,9.4,2015.5
GRDC_6337330,653.036063914,180.6,24.754785571428574,58.40987462857142,19.5,0.7,6.6188667514285715,9.132459423571426,15.196865414285705,18.5,9.4,2.1,0.32934252675467596,0.1946455262215803,74.4,11.0,2015.5
GRDC_6337340,928.2282028371899,254.3,21.0934924,49.925621910000004,30.8,0.7,6.920448401000002,9.097630336999995,14.189436062499999,25.9,13.3,3.0,0.32397911606782437,0.19680586045431334,111.0,15.4,2015.5
GRDC_6337350,805.9314519915,234.3,20.171037277777778,53.10979366666666,29.3,0.8,6.437192841111112,8.670713833333332,13.536383217777777,23.8,12.1,2.6,0.33257584710112154,0.20587095549621326,81.5,12.0,2015.5
GRDC_6337400,836.26433703246,236.9,22.0652361,50.93348798,26.7,0.7,6.429050218,8.100619376499996,12.95952050199999,24.1,12.3,2.9,0.3215990088117022,0.20142328927855968,128.4,17.9,2015.5
GRDC_6337410,724.3974919498,179.3,24.55252175,53.636597525,16.6,1.0,7.4694230712500005,10.655919640624994,16.530412677500003,18.2,9.4,2.3,0.2964095488406824,0.17212347359254293,112.2,12.2,2015.5
GRDC_6337500,610.3608604464,163.0,22.878907571428574,49.35302275714286,17.4,1.0,6.949337068571429,9.208100928571428,15.174560384285725,16.7,8.6,2.1,0.3078128854810263,0.1842361426298132,92.0,13.1,2015.5
GRDC_6337501,750.3635233048001,217.9,21.0404483,47.23239609,26.9,0.7,5.841834198,7.509594215499999,13.712670064999987,22.2,11.3,2.7,0.32539617805250465,0.1813224545616657,146.7,18.5,2015.5
GRDC_6337502,705.7392748269,213.1,22.493663599999998,48.57629138,23.2,1.1,5.432794703000001,7.535448567499996,13.411604083499999,21.6,11.0,2.7,0.3265586988926101,0.1842037413412512,149.7,18.9,2015.5
GRDC_6337503,916.9488909170001,276.7,17.0846285,46.817039874,36.6,0.1,5.892404684000001,8.107989673499995,12.401702243000006,28.2,14.4,3.2,0.3490560540531137,0.21429092503612482,87.9,8.3,2015.5
GRDC_6337504,938.052163094,248.9,21.3765157,53.075610129999994,31.3,0.6,7.297158153000001,9.850028689999997,15.012383664000007,25.3,12.8,3.0,0.2988128779673845,0.19223749233999526,116.4,14.9,2015.5
GRDC_6337505,844.0400444615279,272.2,13.752462400000002,37.690364970000005,46.2,0.1,5.302022515000001,6.586924775499999,9.927040375999995,27.6,14.0,3.0,0.3883787767023893,0.2488726558865432,92.4,13.8,2015.5
GRDC_6337506,879.4727179305701,221.1,25.9099265,55.03690532,23.1,0.9,7.752383192000001,10.112612279999997,15.460439542,22.6,11.5,2.9,0.2903343457598207,0.17289673887937537,144.2,18.5,2015.5
